CardCode,CardName,GroupCode,Address,ZipCode,MailAddres,CntctPrsn,City
50164,הום  סנטר ערד,114,טוליפמן 7,NULL,הקנאים קניון ערד,NULL,ראשון לציון
50192,ז.י.א. אחים שרעבי בעמ,109,הרצל 116,7654044,הרצל 116,מייל תעודות משלוח,רחובות
70013,עדן נדל,107,משה בקר 25,NULL,NULL,NULL,ראשון לציון
50526,נגב קרמיקה רעננה,113,NULL,NULL,התעשיה 9,NULL,NULL
50059,מולטי ריטייל גרופ בעמ - מעלה אדומים סניף 64,123,גליס 9 צומת סגולה,NULL,דרך קדם 5,מייל בירור הזמנות,פתח תקווה
50129,האוזי משה בעמ,130,אצל 4,NULL,אצל 6,האוזי ת.משלוח,ראשון לציון
50040,מולטי ריטייל גרופ בעמ - נצרת סניף 42,123,גליס 9 צומת סגולה,NULL,דרך העמק 41,מייל בירור הזמנות,פתח תקווה
50157,הום  סנטר נצרת עילית,114,טוליפמן 7,NULL,א.ת ג' נצרת עילית הר יונה,NULL,ראשון לציון
50685,דוד בי שואורום בעמ,130,המשביר 5,NULL,המשביר 5,NULL,חולון
50531,נגב קרמיקה -עודפים פתח תקווה,113,NULL,NULL,חיים סוטין 4,NULL,NULL
50371,קרמיק דיפו (ראשון לציון  ),113,ת.ד 2195,NULL,רח' יצחק בן צבי 29,"תמ""ש",באר שבע
50365,קרמיק דיפו (אשקלון ),113,ת.ד 2195,84874,-,תמש,באר שבע
50626,קונקס קרמיקה בעמ,103,ת.ד 501,45863,כפר ברא,איש קשר,כפר ברא
50015,עוז קרמיקה בעמ,109,האומן 40 תלפיות,9342121,חרובית 24,"עוז תמ""ש יומיות",ירושלים
50070,מולטי ריטייל גרופ בעמ - תא - נמל סניף 68,123,גליס 9 צומת סגולה,NULL,יורדי הסירה,מחסן,פתח תקווה
50135,הום  סנטר אור יהודה,114,טוליפמן 7,NULL,המפעל 5,ת.מ.,ראשון לציון
50443,יעקב חרש בעמ -דימונה,113,הבנאי 12,NULL,הפועלים 64,מייל הזמנות,חולון
